BlockSize,gpu__time_duration.avg,gpu__cycles_active.avg,l1tex__t_sector_hit_rate.pct,lts__t_sector_hit_rate.pct,sm__warps_active.avg.pct_of_peak_sustained_active,smsp__sass_average_branch_targets_threads_uniform.pct,dram__throughput.max.pct_of_peak_sustained_elapsed
32,1649024,1954069,0,32.76,22.99,0,56.66
64,984576,1166679,0,33.31,57.63,0,94.37
96,977728,1158534,0,33.23,80.45,0,95.14
128,973888,1154009,0,33.00,84.95,0,95.29
160,987296,1169883,0,33.29,79.39,0,94.77
192,983456,1165310,0,33.25,81.12,0,94.82
224,982592,1164298,0,33.31,76.15,0,94.87
256,971712,1151405,0,33.14,83.45,0,95.39
288,974304,1154243,0,33.14,74.97,0,95.23
320,977792,1158617,0,33.29,72.33,0,95.09
352,981632,1163170,0,33.14,72.13,0,94.89
384,972192,1151774,0,33.21,76.01,0,95.34
416,973056,1152746,0,33.14,66.73,0,95.28
448,971392,1151040,0,32.89,69.81,0,95.41
480,992000,1175468,0,33.36,68.94,0,94.43
512,979872,1161077,0,33.34,74.62,0,94.99
544,987296,1169886,0,33.34,57.13,0,93.78
576,990304,1173438,0,33.34,59.67,0,94.11
608,1008640,1194964,0,33.35,60.04,0,93.49
640,997952,1182533,0,33.29,63.29,0,94.03
672,991168,1174487,0,33.35,63.57,0,94.43
704,1005728,1191708,0,33.33,63.10,0,93.71
736,1013344,1200737,0,33.32,64.75,0,93.41
768,970080,1149508,0,33.16,72.93,0,95.50
800,1045216,1238518,0,33.00,42.90,0,88.67
832,1041280,1233884,0,33.35,44.44,0,89.90
864,1023200,1212467,0,32.75,45.98,0,90.60
896,1014432,1202068,0,32.99,48.01,0,91.33
928,1013184,1200598,0,33.35,48.85,0,91.52
960,1045312,1238650,0,33.33,49.13,0,90.90
992,1476768,1269288,0,36.33,51.95,0,89.12
1024,1019008,1207482,0,33.33,53.70,0,92.10
